ocena,data
4,2018-09-13T19:00:41Z
4,2018-06-18T09:48:30Z
4,2017-03-30T20:35:17Z
1,2017-09-10T03:02:39Z
3,2017-01-15T09:59:56Z
5,2017-07-25T05:05:08Z
2,2018-03-28T20:20:06Z
4,2016-12-15T04:01:16Z
2,2016-11-10T15:04:37Z
4,2017-08-27T18:46:16Z
3,2018-03-31T11:16:11Z
3,2018-10-20T11:01:22Z
1,2017-03-30T18:37:27Z
4,2018-06-24T00:16:23Z
5,2017-03-25T04:40:42Z
4,2018-10-18T11:14:50Z
1,2017-08-05T15:14:37Z
2,2017-05-18T20:29:36Z
4,2018-05-31T21:27:33Z
2,2017-05-01T19:55:52Z
3,2018-09-01T01:23:51Z
3,2017-08-20T00:36:31Z
4,2017-01-30T16:44:02Z
4,2017-06-15T00:08:43Z
2,2018-10-15T08:40:02Z
1,2017-10-17T23:05:21Z
5,2016-12-18T00:32:42Z
2,2017-03-27T11:30:38Z
5,2018-03-20T18:50:41Z
5,2016-11-28T00:23:21Z
5,2017-01-22T10:34:41Z
3,2017-02-04T18:54:04Z
2,2018-02-19T18:31:19Z
4,2017-10-25T19:50:57Z
3,2017-02-19T00:42:47Z
2,2017-01-08T22:19:44Z
1,2018-08-22T13:38:05Z
1,2017-12-08T04:42:24Z
1,2017-03-22T03:04:46Z
2,2018-10-08T10:01:59Z
4,2017-06-20T02:45:56Z
2,2017-06-07T12:12:24Z
4,2018-03-25T19:39:09Z
5,2017-06-26T17:35:40Z
3,2018-05-03T03:59:49Z
5,2017-07-04T10:03:18Z
1,2018-02-02T09:07:59Z
5,2017-01-30T05:26:33Z
3,2016-11-05T20:28:47Z
2,2017-06-03T19:35:03Z
2,2017-07-27T00:30:25Z
2,2017-08-17T01:03:11Z
5,2018-08-28T03:36:59Z
5,2017-06-16T13:36:46Z
1,2018-04-11T07:21:34Z
5,2016-12-04T02:57:53Z
4,2017-12-11T00:37:25Z
4,2018-09-06T15:12:47Z
1,2017-08-21T15:03:38Z
1,2017-01-06T12:53:23Z
5,2017-05-12T13:37:03Z
5,2018-06-21T07:26:06Z
4,2017-07-02T20:07:47Z
2,2018-10-25T15:49:25Z
3,2017-11-30T12:10:14Z
5,2017-03-01T12:28:11Z
4,2018-01-03T00:47:01Z
1,2018-02-28T16:19:30Z
1,2018-09-11T15:08:40Z
3,2018-10-07T11:22:29Z
1,2017-08-30T22:25:38Z
2,2018-06-27T22:45:51Z
1,2018-09-29T04:54:36Z
4,2018-03-29T09:43:53Z
3,2018-02-28T15:12:04Z
5,2017-07-19T22:11:55Z
4,2017-11-28T08:34:56Z
4,2017-02-23T04:50:40Z
3,2017-05-10T12:56:57Z
2,2017-12-29T23:56:20Z
3,2017-02-09T19:39:46Z
2,2018-08-08T10:21:42Z
4,2017-09-27T10:58:37Z
1,2018-05-29T16:57:37Z
3,2018-10-29T03:00:05Z
3,2018-09-19T03:35:04Z
3,2017-11-24T02:58:04Z
3,2017-02-20T21:17:12Z
1,2017-08-24T01:59:32Z
4,2017-04-22T17:41:04Z
4,2017-08-27T09:46:52Z
3,2017-01-17T06:37:42Z
4,2017-02-22T14:03:17Z
2,2017-10-25T13:05:10Z
4,2016-11-18T15:44:15Z
1,2017-12-28T08:58:54Z
4,2017-03-11T03:43:18Z
2,2018-06-14T07:49:23Z
1,2018-01-29T05:04:09Z
3,2018-09-23T18:37:53Z
3,2018-03-04T10:49:22Z
2,2018-02-02T04:28:41Z
4,2016-12-21T04:58:48Z
2,2018-06-21T21:38:46Z
