28,2018-01-01, 08:00:00,2018-01-01, 16:00:00,smazenie
18,2018-01-01, 08:00:00,2018-01-01, 16:00:00,smazenie
38,2018-01-01, 08:00:00,2018-01-01, 16:00:00,pakowanie
19,2018-01-01, 08:00:00,2018-01-01, 16:00:00,pakowanie
34,2018-01-01, 08:00:00,2018-01-01, 16:00:00,pakowanie
43,2018-01-01, 08:00:00,2018-01-01, 16:00:00,krojenie
9,2018-01-01, 08:00:00,2018-01-01, 16:00:00,mycie
42,2018-01-01, 08:00:00,2018-01-01, 16:00:00,mycie
26,2018-01-01, 08:00:00,2018-01-01, 16:00:00,mycie
44,2018-01-01, 08:00:00,2018-01-01, 16:00:00,nalewanie
45,2018-01-01, 08:00:00,2018-01-01, 16:00:00,nalewanie
41,2018-01-01, 08:00:00,2018-01-01, 16:00:00,nalewanie
20,2018-01-01, 16:00:00,2018-01-02, 00:00:00,smazenie
5,2018-01-01, 16:00:00,2018-01-02, 00:00:00,smazenie
0,2018-01-01, 16:00:00,2018-01-02, 00:00:00,smazenie
1,2018-01-01, 16:00:00,2018-01-02, 00:00:00,pakowanie
31,2018-01-01, 16:00:00,2018-01-02, 00:00:00,pakowanie
17,2018-01-01, 16:00:00,2018-01-02, 00:00:00,pakowanie
10,2018-01-01, 16:00:00,2018-01-02, 00:00:00,krojenie
25,2018-01-01, 16:00:00,2018-01-02, 00:00:00,krojenie
4,2018-01-01, 16:00:00,2018-01-02, 00:00:00,mycie
21,2018-01-01, 16:00:00,2018-01-02, 00:00:00,nalewanie
11,2018-01-01, 16:00:00,2018-01-02, 00:00:00,nalewanie
6,2018-01-01, 16:00:00,2018-01-02, 00:00:00,nalewanie
