id,Przyczyna,ID Zamówienia
1,Zbyt dlugi czas oczekiwania,6589
2,inne,1
3,Zbyt dlugi czas oczekiwania,2
4,zle zapakowane jedzenie,3
5,Zbyt dlugi czas oczekiwania,4
6,Zbyt dlugi czas oczekiwania,5
7,nieswieze jedzenie,6
8,zle zapakowane jedzenie,7
9,Zbyt dlugi czas oczekiwania,8
10,nieswieze jedzenie,9
11,zle zapakowane jedzenie,10
12,inne,11
13,Zbyt dlugi czas oczekiwania,12
14,inne,13
15,nieswieze jedzenie,14
16,nieswieze jedzenie,15
17,inne,16
18,nieswieze jedzenie,17
19,inne,18
20,inne,19
21,zle zapakowane jedzenie,20
22,inne,21
23,Zbyt dlugi czas oczekiwania,22
24,zle zapakowane jedzenie,23
25,inne,24
26,zle zapakowane jedzenie,25
27,inne,26
28,nieswieze jedzenie,27
29,Zbyt dlugi czas oczekiwania,28
30,Zbyt dlugi czas oczekiwania,29
31,inne,30
32,nieswieze jedzenie,31
33,nieswieze jedzenie,32
34,nieswieze jedzenie,33
35,Zbyt dlugi czas oczekiwania,34
36,Zbyt dlugi czas oczekiwania,35
37,inne,36
38,zle zapakowane jedzenie,37
39,Zbyt dlugi czas oczekiwania,38
40,inne,39
41,nieswieze jedzenie,40
42,inne,41
43,Zbyt dlugi czas oczekiwania,42
44,nieswieze jedzenie,43
45,inne,44
46,inne,45
47,nieswieze jedzenie,46
48,zle zapakowane jedzenie,47
49,nieswieze jedzenie,48
50,zle zapakowane jedzenie,49
51,nieswieze jedzenie,50
52,nieswieze jedzenie,51
53,nieswieze jedzenie,52
54,inne,53
55,inne,54
56,inne,55
57,Zbyt dlugi czas oczekiwania,56
58,inne,57
59,Zbyt dlugi czas oczekiwania,58
60,nieswieze jedzenie,59
61,nieswieze jedzenie,60
62,inne,61
63,inne,62
64,Zbyt dlugi czas oczekiwania,63
65,Zbyt dlugi czas oczekiwania,64
66,inne,65
67,zle zapakowane jedzenie,66
68,inne,67
69,nieswieze jedzenie,68
70,Zbyt dlugi czas oczekiwania,69
71,nieswieze jedzenie,70
72,zle zapakowane jedzenie,71
73,Zbyt dlugi czas oczekiwania,72
74,zle zapakowane jedzenie,73
75,Zbyt dlugi czas oczekiwania,74
76,zle zapakowane jedzenie,75
77,Zbyt dlugi czas oczekiwania,76
78,zle zapakowane jedzenie,77
79,inne,78
80,inne,79
81,inne,80
82,nieswieze jedzenie,81
83,zle zapakowane jedzenie,82
84,Zbyt dlugi czas oczekiwania,83
85,nieswieze jedzenie,84
86,Zbyt dlugi czas oczekiwania,85
87,zle zapakowane jedzenie,86
88,inne,87
89,zle zapakowane jedzenie,88
90,inne,89
91,Zbyt dlugi czas oczekiwania,90
92,zle zapakowane jedzenie,91
93,inne,92
94,zle zapakowane jedzenie,93
95,nieswieze jedzenie,94
96,inne,95
97,zle zapakowane jedzenie,96
98,zle zapakowane jedzenie,97
99,nieswieze jedzenie,98
100,zle zapakowane jedzenie,99
101,zle zapakowane jedzenie,100
102,Zbyt dlugi czas oczekiwania,101
103,Zbyt dlugi czas oczekiwania,102
104,zle zapakowane jedzenie,103
105,inne,104
106,zle zapakowane jedzenie,105
107,Zbyt dlugi czas oczekiwania,106
108,nieswieze jedzenie,107
109,zle zapakowane jedzenie,108
110,zle zapakowane jedzenie,109
111,nieswieze jedzenie,110
112,inne,111
113,nieswieze jedzenie,112
114,inne,113
115,nieswieze jedzenie,114
116,Zbyt dlugi czas oczekiwania,115
117,nieswieze jedzenie,116
118,zle zapakowane jedzenie,117
119,zle zapakowane jedzenie,118
120,Zbyt dlugi czas oczekiwania,119
121,inne,120
122,nieswieze jedzenie,121
123,nieswieze jedzenie,122
124,Zbyt dlugi czas oczekiwania,123
125,zle zapakowane jedzenie,124
126,nieswieze jedzenie,125
127,Zbyt dlugi czas oczekiwania,126
128,nieswieze jedzenie,127
129,zle zapakowane jedzenie,128
130,nieswieze jedzenie,129
131,inne,130
132,inne,131
133,nieswieze jedzenie,132
134,nieswieze jedzenie,133
135,inne,134
136,Zbyt dlugi czas oczekiwania,135
137,nieswieze jedzenie,136
138,nieswieze jedzenie,137
139,nieswieze jedzenie,138
140,inne,139
141,inne,140
142,nieswieze jedzenie,141
143,nieswieze jedzenie,142
144,Zbyt dlugi czas oczekiwania,143
145,nieswieze jedzenie,144
146,inne,145
147,zle zapakowane jedzenie,146
148,Zbyt dlugi czas oczekiwania,147
149,zle zapakowane jedzenie,148
150,zle zapakowane jedzenie,149
151,inne,150
152,Zbyt dlugi czas oczekiwania,151
153,inne,152
154,Zbyt dlugi czas oczekiwania,153
155,Zbyt dlugi czas oczekiwania,154
156,inne,155
157,inne,156
158,inne,157
159,Zbyt dlugi czas oczekiwania,158
160,nieswieze jedzenie,159
161,zle zapakowane jedzenie,160
162,Zbyt dlugi czas oczekiwania,161
163,nieswieze jedzenie,162
164,nieswieze jedzenie,163
165,Zbyt dlugi czas oczekiwania,164
166,inne,165
167,inne,166
168,nieswieze jedzenie,167
169,nieswieze jedzenie,168
170,Zbyt dlugi czas oczekiwania,169
171,inne,170
172,zle zapakowane jedzenie,171
173,inne,172
174,zle zapakowane jedzenie,173
175,nieswieze jedzenie,174
176,zle zapakowane jedzenie,175
177,inne,176
178,zle zapakowane jedzenie,177
179,zle zapakowane jedzenie,178
180,inne,179
181,nieswieze jedzenie,180
182,Zbyt dlugi czas oczekiwania,181
183,nieswieze jedzenie,182
184,Zbyt dlugi czas oczekiwania,183
185,nieswieze jedzenie,184
186,inne,185
187,inne,186
188,inne,187
189,zle zapakowane jedzenie,188
190,zle zapakowane jedzenie,189
191,Zbyt dlugi czas oczekiwania,190
192,zle zapakowane jedzenie,191
193,nieswieze jedzenie,192
194,nieswieze jedzenie,193
195,zle zapakowane jedzenie,194
196,inne,195
197,inne,196
198,zle zapakowane jedzenie,197
199,Zbyt dlugi czas oczekiwania,198
200,nieswieze jedzenie,199
201,inne,200
202,zle zapakowane jedzenie,201
203,Zbyt dlugi czas oczekiwania,202
204,inne,203
205,inne,204
206,nieswieze jedzenie,205
207,nieswieze jedzenie,206
208,zle zapakowane jedzenie,207
209,nieswieze jedzenie,208
210,zle zapakowane jedzenie,209
211,nieswieze jedzenie,210
212,zle zapakowane jedzenie,211
213,inne,212
214,zle zapakowane jedzenie,213
215,Zbyt dlugi czas oczekiwania,214
216,nieswieze jedzenie,215
217,inne,216
218,zle zapakowane jedzenie,217
219,inne,218
220,Zbyt dlugi czas oczekiwania,219
221,zle zapakowane jedzenie,220
222,Zbyt dlugi czas oczekiwania,221
223,Zbyt dlugi czas oczekiwania,222
224,Zbyt dlugi czas oczekiwania,223
225,zle zapakowane jedzenie,224
226,zle zapakowane jedzenie,225
227,inne,226
228,nieswieze jedzenie,227
229,inne,228
230,zle zapakowane jedzenie,229
231,nieswieze jedzenie,230
232,zle zapakowane jedzenie,231
233,Zbyt dlugi czas oczekiwania,232
234,inne,233
235,zle zapakowane jedzenie,234
236,nieswieze jedzenie,235
237,nieswieze jedzenie,236
238,Zbyt dlugi czas oczekiwania,237
239,nieswieze jedzenie,238
240,inne,239
241,zle zapakowane jedzenie,240
242,nieswieze jedzenie,241
243,inne,242
244,nieswieze jedzenie,243
245,nieswieze jedzenie,244
246,Zbyt dlugi czas oczekiwania,245
247,Zbyt dlugi czas oczekiwania,246
248,zle zapakowane jedzenie,247
249,zle zapakowane jedzenie,248
250,inne,249
251,Zbyt dlugi czas oczekiwania,250
252,nieswieze jedzenie,251
253,Zbyt dlugi czas oczekiwania,252
254,nieswieze jedzenie,253
255,zle zapakowane jedzenie,254
256,inne,255
257,Zbyt dlugi czas oczekiwania,256
258,zle zapakowane jedzenie,257
259,zle zapakowane jedzenie,258
260,nieswieze jedzenie,259
261,nieswieze jedzenie,260
262,inne,261
263,nieswieze jedzenie,262
264,zle zapakowane jedzenie,263
265,zle zapakowane jedzenie,264
266,Zbyt dlugi czas oczekiwania,265
267,nieswieze jedzenie,266
268,nieswieze jedzenie,267
269,Zbyt dlugi czas oczekiwania,268
270,Zbyt dlugi czas oczekiwania,269
271,zle zapakowane jedzenie,270
272,nieswieze jedzenie,271
273,Zbyt dlugi czas oczekiwania,272
274,Zbyt dlugi czas oczekiwania,273
275,zle zapakowane jedzenie,274
276,zle zapakowane jedzenie,275
277,Zbyt dlugi czas oczekiwania,276
278,inne,277
279,nieswieze jedzenie,278
280,Zbyt dlugi czas oczekiwania,279
281,inne,280
282,Zbyt dlugi czas oczekiwania,281
283,Zbyt dlugi czas oczekiwania,282
284,inne,283
285,zle zapakowane jedzenie,284
286,inne,285
287,inne,286
288,Zbyt dlugi czas oczekiwania,287
289,inne,288
290,zle zapakowane jedzenie,289
291,inne,290
292,nieswieze jedzenie,291
293,inne,292
294,inne,293
295,inne,294
296,inne,295
297,nieswieze jedzenie,296
298,nieswieze jedzenie,297
299,Zbyt dlugi czas oczekiwania,298
300,zle zapakowane jedzenie,299
301,Zbyt dlugi czas oczekiwania,300
302,Zbyt dlugi czas oczekiwania,301
303,inne,302
304,nieswieze jedzenie,303
305,Zbyt dlugi czas oczekiwania,304
306,zle zapakowane jedzenie,305
307,zle zapakowane jedzenie,306
308,Zbyt dlugi czas oczekiwania,307
309,Zbyt dlugi czas oczekiwania,308
310,nieswieze jedzenie,309
